id,name,category,cred:credibility,eco:chemicals,eco:lifetime,eco:water,eco:inputs,eco:quality,eco:energy,eco:waste_air,eco:environmental_management,social:labour_rights,social:business_practice,social:social_rights,social:company_responsibility,social:conflict_minerals
certificate:MADE_IN_GREEN_OEKO_TEX,MADE IN GREEN by OEKO-TEX,Fashion,76,70,0,95,49,100,100,89,66,95,65,4,0,0
certificate:NATURLAND_TEXTILES,Naturland - Textilien,Fashion,83,98,0,83,76,100,100,72,70,77,30,9,0,0
certificate:NORDIC_ECOLABEL_LEATHER,Nordic Ecolabel - Leder,Fashion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
certificate:NORDIC_ECOLABEL_TEXTILES,Nordic Ecolabel - Textiles,Fashion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
certificate:OEKO_TEX_100,OEKO-TEX 100,Fashion,63,70,0,0,0,0,0,0,0,0,0,0,0,0
certificate:ORGANIC_CONTENT_STANDARD_100,OCS 100,Fashion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
certificate:ORGANIC_CONTENT_STANDARD_BLENDED,Organic Content Standard - Blended,Fashion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
certificate:PETA_APPROVED_VEGAN,PETA-Approved Vegan,Fashion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
certificate:RECYCLED_CLAIM_STANDARD_100,Recycled Claim Standard - 100,Fashion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
certificate:RECYCLED_CLAIM_STANDARD_BLENDED,Recycled Claim Standard - Blended,Fashion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
certificate:RESPONSIBLE_DOWN_STANDARD,Responsible Down Standard,Fashion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
certificate:RESPONSIBLE_WOOL_STANDARD,Responsible Wool Standard ,Fashion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
certificate:SA8000,SA8000,Fashion,90,0,0,0,0,0,0,0,30,92,50,0,0,0
certificate:TCO_8_NOTEBOOKS,TCO - Notebooks,Electronics,78,78,75,0,33,100,50,57,100,52,0,0,0,100
certificate:TCO_8_SMARTPHONES,TCO - Smartphones,Electronics,78,78,50,0,33,50,60,57,100,60,0,0,0,100
certificate:TUEV_RHEINLAND_GREEN_PRODUCT_MARK_LAPTOPS,TÜV Rheinland Green Product Mark Siegel - Laptops,Electronics,56,22,50,0,66,0,33,71,0,84,0,0,0,0
certificate:TUEV_RHEINLAND_GREEN_PRODUCT_MARK_SMARTPHONES,TÜV Rheinland Green Product Mark Siegel - Smartphones,Electronics,58,44,25,0,40,0,0,72,0,24,0,0,0,0
certificate:VFI_SOZIAL_FAIR,sozial-fair VFI Sozialstandard für Fertigwaren,Fashion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
certificate:WORLD_FAIR_TRADE_ORGANIZATION,World Fair Trade Organization,Fashion,54,0,0,2,0,0,38,8,30,73,49,35,0,0
missing_1,Modal TENCEL™,Fashion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
missing_15,SEAQUAL™,Fashion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
missing_16,Pre-owned Certified - bei Amazon,Fashion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
missing_2,Lyocell Tencel™,Fashion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
missing_3,TENCEL™ Lyocell,Fashion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
missing_4,LENZING™ ECOVERO™,Fashion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
missing_5,Viscose Ecovero™,Fashion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
missing_6,Primeblue,Fashion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
missing_7,The Nordic Swan - Electronics,Electronics,0,0,0,0,0,0,0,0,0,0,0,0,0,0
